controllerID,controllerChannel,panel,spiralNum,position,Feather,Rung,X in Inches,Y in Inches,Z in Inches
1,3,3,24,125,0,22,-22.63,16.27,0
1,3,3,24,124,0,22,-21.89,18.33,0
1,4,4,24,123,0,21,-19.54,23.18,0
1,4,4,24,122,0,21,-17.94,25.58,0
1,5,5,24,121,0,20,-14.07,29.91,0
1,5,5,24,120,0,20,-12.67,31.09,0
1,5,5,24,119,0,20,-11.28,32.27,0
1,6,6,24,118,0,19,-6.74,35.04,0
1,6,6,24,117,0,19,-4.74,35.86,0
1,6,6,24,116,0,19,-2.76,36.68,0
1,7,7,24,115,0,18,2.78,38.17,0
1,7,7,24,114,0,18,5.28,38.5,0
1,7,7,24,113,0,18,7.77,38.81,0
1,8,8,24,112,0,17,13.09,38.95,0
1,8,8,24,111,0,17,16.05,38.68,0
1,8,8,24,110,0,17,19,38.42,0
1,9,9,24,109,0,16,24.7,37.23,0
1,9,9,24,108,0,16,26.92,36.47,0
1,9,9,24,107,0,16,29.15,35.71,0
1,9,9,24,106,0,16,31.38,34.95,0
1,10,10,24,105,0,15,36.21,32.6,0
1,10,10,24,104,0,15,38.49,31.07,0
1,10,10,24,103,0,15,40.77,29.55,0
1,10,10,24,102,0,15,43.06,28.02,0
1,11,11,24,101,0,14,47.41,24.16,0
1,11,11,24,100,0,14,49.42,21.76,0
1,11,11,24,99,0,14,51.44,19.35,0
1,11,11,24,98,0,14,53.46,16.95,0
1,12,12,24,97,0,13,56.25,12.42,0
1,12,12,24,96,0,13,57.23,9.99,0
1,12,12,24,95,0,13,58.2,7.57,0
1,12,12,24,94,0,13,59.17,5.15,0
1,12,12,24,93,0,13,59.53,2.72,0
1,3,3,23,11,0,1,-107.81,104.17,0
1,3,3,23,10,0,1,-110.67,101.95,0
1,3,3,23,9,0,1,-113.54,99.73,0
1,3,3,23,8,0,1,-116.41,97.51,0
1,3,3,23,7,0,1,-119.27,95.29,0
1,3,3,23,6,0,1,-122.14,93.07,0
1,3,3,23,5,0,1,-125.01,90.85,0
1,3,3,23,4,0,1,-127.87,88.63,0
1,3,3,23,3,0,1,-130.74,86.41,0
1,3,3,23,2,0,1,-133.61,84.19,0
1,3,3,23,1,0,1,-136.47,81.97,0
1,4,4,23,22,0,2,-71.56,118.38,0
1,4,4,23,21,0,2,-74.72,117.22,0
1,4,4,23,20,0,2,-77.88,116.06,0
1,4,4,23,19,0,2,-81.04,114.9,0
1,4,4,23,18,0,2,-84.21,113.75,0
1,4,4,23,17,0,2,-87.37,112.59,0
1,4,4,23,16,0,2,-90.53,111.43,0
1,4,4,23,15,0,2,-93.7,110.27,0
1,4,4,23,14,0,2,-96.86,109.12,0
1,4,4,23,13,0,2,-100.02,107.96,0
1,4,4,23,12,0,2,-103.19,106.8,0
1,5,5,23,32,0,3,-35.26,121.69,0
1,5,5,23,31,0,3,-38.66,121.46,0
1,5,5,23,30,0,3,-42.06,121.22,0
1,5,5,23,29,0,3,-45.46,120.98,0
1,5,5,23,28,0,3,-48.86,120.75,0
1,5,5,23,27,0,3,-52.26,120.51,0
1,5,5,23,26,0,3,-55.66,120.28,0
1,5,5,23,25,0,3,-59.06,120.04,0
1,5,5,23,24,0,3,-62.46,119.81,0
1,5,5,23,23,0,3,-65.86,119.57,0
1,6,6,23,41,0,4,-2.77,116.04,0
1,6,6,23,40,0,4,-6.16,116.7,0
1,6,6,23,39,0,4,-9.55,117.35,0
1,6,6,23,38,0,4,-12.94,118.01,0
1,6,6,23,37,0,4,-16.33,118.67,0
1,6,6,23,36,0,4,-19.72,119.32,0
1,6,6,23,35,0,4,-23.11,119.98,0
1,6,6,23,34,0,4,-26.5,120.64,0
1,6,6,23,33,0,4,-29.89,121.29,0
1,7,7,23,49,0,5,25.17,103.88,0
1,7,7,23,48,0,5,21.97,105.35,0
1,7,7,23,47,0,5,18.76,106.82,0
1,7,7,23,46,0,5,15.55,108.3,0
1,7,7,23,45,0,5,12.34,109.77,0
1,7,7,23,44,0,5,9.14,111.25,0
1,7,7,23,43,0,5,5.93,112.72,0
1,7,7,23,42,0,5,2.72,114.19,0
1,8,8,23,56,0,6,47.39,87.65,0
1,8,8,23,55,0,6,44.45,89.9,0
1,8,8,23,54,0,6,41.5,92.14,0
1,8,8,23,53,0,6,38.56,94.38,0
1,8,8,23,52,0,6,35.61,96.63,0
1,8,8,23,51,0,6,32.66,98.87,0
1,8,8,23,50,0,6,29.72,101.12,0
1,9,9,23,63,0,7,63.91,67.54,0
1,9,9,23,62,0,7,61.83,70.22,0
1,9,9,23,61,0,7,59.74,72.89,0
1,9,9,23,60,0,7,57.65,75.56,0
1,9,9,23,59,0,7,55.57,78.23,0
1,9,9,23,58,0,7,53.48,80.9,0
1,9,9,23,57,0,7,51.4,83.57,0
1,10,10,23,70,0,8,72.89,45.3,0
1,10,10,23,69,0,8,71.82,48.22,0
1,10,10,23,68,0,8,70.75,51.15,0
1,10,10,23,67,0,8,69.67,54.08,0
1,10,10,23,66,0,8,68.6,57.01,0
1,10,10,23,65,0,8,67.53,59.94,0
1,10,10,23,64,0,8,66.45,62.87,0
1,11,11,23,76,0,9,75.23,22.81,0
1,11,11,23,75,0,9,74.99,26.17,0
1,11,11,23,74,0,9,74.75,29.53,0
1,11,11,23,73,0,9,74.51,32.88,0
1,11,11,23,72,0,9,74.27,36.24,0
1,11,11,23,71,0,9,74.04,39.6,0
1,12,12,23,82,0,10,71.97,2.78,0
1,12,12,23,81,0,10,72.54,5.71,0
1,12,12,23,80,0,10,73.12,8.65,0
1,12,12,23,79,0,10,73.69,11.58,0
1,12,12,23,78,0,10,74.27,14.51,0
1,12,12,23,77,0,10,74.84,17.45,0
1,1,1,22,125,0,22,-27.73,2.77,0
1,1,1,22,124,0,22,-28.12,4.93,0
1,2,2,22,123,0,21,-28.51,10.3,0
1,2,2,22,122,0,21,-28.33,13.18,0
1,3,3,22,121,0,20,-27.15,18.87,0
1,3,3,22,120,0,20,-26.52,20.59,0
1,3,3,22,119,0,20,-25.9,22.31,0
1,4,4,22,118,0,19,-23.35,26.98,0
1,4,4,22,117,0,19,-22.04,28.68,0
1,4,4,22,116,0,19,-20.72,30.38,0
1,5,5,22,115,0,18,-16.67,34.44,0
1,5,5,22,114,0,18,-14.68,35.98,0
1,5,5,22,113,0,18,-12.67,37.5,0
1,6,6,22,112,0,17,-8.14,40.27,0
1,6,6,22,111,0,17,-5.44,41.52,0
1,6,6,22,110,0,17,-2.75,42.77,0
1,7,7,22,109,0,16,2.77,44.59,0
1,7,7,22,108,0,16,5.08,45.05,0
1,7,7,22,107,0,16,7.39,45.5,0
1,7,7,22,106,0,16,9.7,45.96,0
1,8,8,22,105,0,15,15.06,46.34,0
1,8,8,22,104,0,15,17.8,46.16,0
1,8,8,22,103,0,15,20.54,45.98,0
1,8,8,22,102,0,15,23.28,45.8,0
1,9,9,22,101,0,14,28.97,44.63,0
1,9,9,22,100,0,14,31.92,43.56,0
1,9,9,22,99,0,14,34.87,42.48,0
1,9,9,22,98,0,14,37.82,41.41,0
1,10,10,22,97,0,13,42.51,38.88,0
1,10,10,22,96,0,13,44.56,37.27,0
1,10,10,22,95,0,13,46.62,35.66,0
1,10,10,22,94,0,13,48.67,34.04,0
1,10,10,22,93,0,13,50.2,32.12,0
1,11,11,22,92,0,12,54.82,28.44,0
1,11,11,22,91,0,12,56.6,26.14,0
1,11,11,22,90,0,12,58.37,23.84,0
1,11,11,22,89,0,12,60.14,21.54,0
1,11,11,22,88,0,12,61.92,19.24,0
1,12,12,22,87,0,11,64.66,14.68,0
1,12,12,22,86,0,11,65.93,11.88,0
1,12,12,22,85,0,11,67.4,8.7,0
